ClassName,LectureNumber,QuestionNumber,Explanation,Question,Answer
AI and Philosophy,1,0,"We will need a set of states, one of those states as the initial state, and a function that tells us which actions we can take from a particular state given a particular set of actions that are legal.The transition model is a function that takes a state and an action to the next state. The transition model is used to define the problem of game playing.","What is the set of states?
",The set of states is the set of all possible game states that could be reached from the initial state.
AI and Philosophy,1,1,"We will need a set of states, one of those states as the initial state, and a function that tells us which actions we can take from a particular state given a particular set of actions that are legal.The transition model is a function that takes a state and an action to the next state. The transition model is used to define the problem of game playing.","What is the initial state?
",The initial state is the state from which the game begins.
AI and Philosophy,1,2,"We will need a set of states, one of those states as the initial state, and a function that tells us which actions we can take from a particular state given a particular set of actions that are legal.The transition model is a function that takes a state and an action to the next state. The transition model is used to define the problem of game playing.","What is the set of actions?
",The set of actions is the set of all possible actions that can be taken from a state.
AI and Philosophy,1,3,"We will need a set of states, one of those states as the initial state, and a function that tells us which actions we can take from a particular state given a particular set of actions that are legal.The transition model is a function that takes a state and an action to the next state. The transition model is used to define the problem of game playing.","What is the transition model?
",The transition model is a function that takes a state and an action to the next state.
AI and Philosophy,1,4,"We will need a set of states, one of those states as the initial state, and a function that tells us which actions we can take from a particular state given a particular set of actions that are legal.The transition model is a function that takes a state and an action to the next state. The transition model is used to define the problem of game playing.","What is the problem of game playing?
",The problem of game playing is the problem of finding a path from the initial state to the goal state.
AI and Philosophy,1,5,"We will also need a performance measure, which tells us how good one path is compared to another. Typically, we will try to minimize the cost for a given action sequence.Finally, we need a test to see whether a particular state is a goal state. This can be either explicit or implicit.A toy problem called a grid world is used to illustrate how to solve MDPs. The agent in the grid world has to move around and avoid obstacles, while picking up coins.","What is a Markov decision process?
",A Markov decision process (MDP) is a stochastic model of decision making. It is a tuple
AI and Philosophy,1,6,"We will also need a performance measure, which tells us how good one path is compared to another. Typically, we will try to minimize the cost for a given action sequence.Finally, we need a test to see whether a particular state is a goal state. This can be either explicit or implicit.A toy problem called a grid world is used to illustrate how to solve MDPs. The agent in the grid world has to move around and avoid obstacles, while picking up coins.","What is a policy?
",A policy is a function that maps an initial state to a set of actions.
AI and Philosophy,1,7,"We will also need a performance measure, which tells us how good one path is compared to another. Typically, we will try to minimize the cost for a given action sequence.Finally, we need a test to see whether a particular state is a goal state. This can be either explicit or implicit.A toy problem called a grid world is used to illustrate how to solve MDPs. The agent in the grid world has to move around and avoid obstacles, while picking up coins.","What is a transition model?
",A transition model is a probability distribution over the current state and a set of actions.
AI and Philosophy,1,8,"We will also need a performance measure, which tells us how good one path is compared to another. Typically, we will try to minimize the cost for a given action sequence.Finally, we need a test to see whether a particular state is a goal state. This can be either explicit or implicit.A toy problem called a grid world is used to illustrate how to solve MDPs. The agent in the grid world has to move around and avoid obstacles, while picking up coins.","What is a reward model?
",A reward model is a function that maps a current state and an action to a reward.
AI and Philosophy,1,9,"We will also need a performance measure, which tells us how good one path is compared to another. Typically, we will try to minimize the cost for a given action sequence.Finally, we need a test to see whether a particular state is a goal state. This can be either explicit or implicit.A toy problem called a grid world is used to illustrate how to solve MDPs. The agent in the grid world has to move around and avoid obstacles, while picking up coins.","What is a performance measure?
",A performance measure is a function that maps a current state and a sequence of actions to a measure of how good one path is compared to another.
AI and Philosophy,1,10,"We will also need a performance measure, which tells us how good one path is compared to another. Typically, we will try to minimize the cost for a given action sequence.Finally, we need a test to see whether a particular state is a goal state. This can be either explicit or implicit.A toy problem called a grid world is used to illustrate how to solve MDPs. The agent in the grid world has to move around and avoid obstacles, while picking up coins.","What is a goal state?
","A goal state is a state that, if reached, satisfies a win or success condition."
AI and Philosophy,1,11,"We will also need a performance measure, which tells us how good one path is compared to another. Typically, we will try to minimize the cost for a given action sequence.Finally, we need a test to see whether a particular state is a goal state. This can be either explicit or implicit.A toy problem called a grid world is used to illustrate how to solve MDPs. The agent in the grid world has to move around and avoid obstacles, while picking up coins.","What is an explicit test for a goal state?
",An explicit test for a goal state is a test that directly checks whether a current state is a goal state.
AI and Philosophy,1,12,The number of states is still eight and the hero just shows my transition diagram.The goal state is the state where everything is clean and the action cost has uniform.,"What is the number of states?

",There are eight states.
AI and Philosophy,1,13,The number of states is still eight and the hero just shows my transition diagram.The goal state is the state where everything is clean and the action cost has uniform.,"What is the goal state?

",The goal state is the state where everything is clean and the action cost has uniform.
AI and Philosophy,1,14,The number of states is still eight and the hero just shows my transition diagram.The goal state is the state where everything is clean and the action cost has uniform.,"What is the action cost?

",The action cost is the cost of taking an action.
AI and Philosophy,1,15,The number of states is still eight and the hero just shows my transition diagram.The goal state is the state where everything is clean and the action cost has uniform.,"What is the transition diagram?

",The transition diagram is a diagram that shows the current state and the possible actions that can be taken to get to other states.
